Orientations,Pixels per Cell,Accuracy,Recall,Specificity,Precision,F1-Score,AUC
8,8,0.7211538461538461,0.9897435897435898,0.27350427350427353,0.6942446043165468,0.8160676532769556,0.8908886697348235
8,12,0.7019230769230769,0.9897435897435898,0.2222222222222222,0.6795774647887324,0.8058455114822547,0.8994356782818322
6,7,0.7035256410256411,0.9846153846153847,0.23504273504273504,0.6820603907637656,0.8058761804826863,0.8877821608590839
6,9,0.7099358974358975,0.9948717948717949,0.23504273504273504,0.6843033509700176,0.8108672936259144,0.8915461319307473
5,13,0.7275641025641025,0.9948717948717949,0.28205128205128205,0.697841726618705,0.8202959830866807,0.8921488056103442
4,13,0.7163461538461539,0.9897435897435898,0.2606837606837607,0.6905187835420393,0.8134878819810326,0.9001753232522464
9,6,0.6971153846153846,0.9846153846153847,0.21794871794871795,0.6772486772486772,0.8025078369905956,0.8810322156476003
9,12,0.6987179487179487,0.9871794871794872,0.21794871794871795,0.6778169014084507,0.8037578288100209,0.8867795310103003
7,6,0.7067307692307693,0.982051282051282,0.24786324786324787,0.6851520572450805,0.8071654373024236,0.8827635327635327
4,11,0.7243589743589743,0.9923076923076923,0.2777777777777778,0.6960431654676259,0.8181818181818182,0.9008053911900066
4,10,0.7243589743589743,0.9974358974358974,0.2692307692307692,0.6946428571428571,0.8189473684210526,0.8924994521148367
5,10,0.7099358974358975,0.9871794871794872,0.24786324786324787,0.6862745098039216,0.8096740273396424,0.8920611439842209
5,15,0.7227564102564102,0.9923076923076923,0.27350427350427353,0.6947935368043088,0.8173178458289335,0.9072430418584265
4,7,0.7099358974358975,0.9897435897435898,0.24358974358974358,0.6856127886323268,0.8100734522560336,0.8835031777339469
6,14,0.7067307692307693,0.9923076923076923,0.23076923076923078,0.6825396825396826,0.8087774294670846,0.8994521148367303
7,16,0.717948717948718,0.9897435897435898,0.26495726495726496,0.6917562724014337,0.8143459915611815,0.8955292570677187
8,6,0.7019230769230769,0.9871794871794872,0.2264957264957265,0.6802120141342756,0.805439330543933,0.8815527065527066
5,14,0.7115384615384616,0.9923076923076923,0.24358974358974358,0.6861702127659575,0.8113207547169812,0.9139546351084813
5,12,0.6987179487179487,0.9846153846153847,0.2222222222222222,0.6784452296819788,0.803347280334728,0.8981481481481481
9,11,0.6858974358974359,0.9897435897435898,0.1794871794871795,0.6678200692041523,0.7975206611570248,0.8875849222003067
