Model,Fold,Exactitud,Sensibilidad,Especificidad,Precisión,F1-Score,AUC
SVM - Validation,1,0.9455587392550143,0.9652509652509652,0.8888888888888888,0.9615384615384616,0.9633911368015414,0.9888841222174556
SVM - Validation,2,0.9627507163323782,0.9806949806949807,0.9111111111111111,0.9694656488549618,0.9750479846449136,0.9913055913055913
SVM - Validation,3,0.9617590822179732,0.9716494845360825,0.9333333333333333,0.9766839378238342,0.9741602067183462,0.992110538373425
SVM - Validation,4,0.9569789674952199,0.9626288659793815,0.9407407407407408,0.9790301441677588,0.9707602339181286,0.9911750668193967
SVM - Validation,5,0.9512428298279159,0.9652509652509652,0.9107806691449815,0.9689922480620154,0.9671179883945842,0.9873405003516528
SVM - Test,-,0.7483974358974359,0.9794871794871794,0.36324786324786323,0.71939736346516,0.8295331161780674,0.8884177076484768
SVM - Validation,1,0.8653295128939829,0.8944658944658944,0.7814814814814814,0.9217506631299734,0.9079033311561071,0.9278659611992945
SVM - Validation,2,0.8595988538681948,0.8970398970398971,0.7518518518518519,0.912303664921466,0.9046073977936405,0.9316077982744649
SVM - Validation,3,0.8938814531548758,0.9484536082474226,0.737037037037037,0.9120198265179678,0.9298799747315224,0.9560853379152348
SVM - Validation,4,0.8776290630975143,0.9291237113402062,0.7296296296296296,0.9080604534005038,0.9184713375796179,0.9309373806796487
SVM - Validation,5,0.861376673040153,0.918918918918919,0.6951672862453532,0.8969849246231156,0.9078194532739987,0.9156129044604882
SVM - Test,-,0.7868589743589743,0.9538461538461539,0.5085470085470085,0.7638603696098563,0.8483466362599772,0.8901709401709401
KNN - Validation,1,0.9169054441260746,0.915057915057915,0.9222222222222223,0.9713114754098361,0.9423459244532804,0.9592282758949425
KNN - Validation,2,0.9426934097421203,0.9382239382239382,0.9555555555555556,0.9838056680161943,0.9604743083003953,0.981448114781448
KNN - Validation,3,0.9397705544933078,0.9329896907216495,0.9592592592592593,0.9850340136054422,0.9583057577763071,0.9879534173348605
KNN - Validation,4,0.9149139579349904,0.9033505154639175,0.9481481481481482,0.9804195804195804,0.9403085177733065,0.9684946544482628
KNN - Validation,5,0.9311663479923518,0.9253539253539254,0.9479553903345725,0.9809004092769441,0.952317880794702,0.9762335357130897
KNN - Test,-,0.7980769230769231,0.9256410256410257,0.5854700854700855,0.7882096069868996,0.8514150943396226,0.8228413324567171
KNN - Validation,1,0.7965616045845272,0.8378378378378378,0.6777777777777778,0.8821138211382114,0.8594059405940594,0.8434386767720102
KNN - Validation,2,0.8385864374403056,0.8815958815958816,0.7148148148148148,0.8989501312335958,0.8901884340480831,0.8776562276562275
KNN - Validation,3,0.8623326959847036,0.9188144329896907,0.7,0.8979848866498741,0.9082802547770701,0.9059946544482628
KNN - Validation,4,0.8346080305927343,0.9007731958762887,0.6444444444444445,0.879245283018868,0.8898790579248886,0.8559540855288278
KNN - Validation,5,0.8221797323135756,0.8777348777348777,0.6617100371747212,0.8822768434670116,0.88,0.8489759010205107
KNN - Test,-,0.7724358974358975,0.9256410256410257,0.5170940170940171,0.7616033755274262,0.8356481481481481,0.8049693184308568
Random Forest - Validation,1,0.9035339063992359,0.9420849420849421,0.7925925925925926,0.9289340101522843,0.9354632587859425,0.9562133562133562
Random Forest - Validation,2,0.944603629417383,0.9703989703989704,0.8703703703703703,0.9556400506970849,0.9629629629629629,0.9812669812669812
Random Forest - Validation,3,0.9177820267686424,0.9432989690721649,0.8444444444444444,0.9457364341085271,0.944516129032258,0.962184994272623
Random Forest - Validation,4,0.8919694072657743,0.9265463917525774,0.7925925925925926,0.927741935483871,0.927143778207608,0.9423300878197786
Random Forest - Validation,5,0.9168260038240917,0.9485199485199485,0.8252788104089219,0.9400510204081632,0.9442664958360025,0.9616100433944299
Random Forest - Test,-,0.7307692307692307,0.9666666666666667,0.33760683760683763,0.7086466165413534,0.8177874186550976,0.8525969756738988
Random Forest - Validation,1,0.8252148997134671,0.8648648648648649,0.7111111111111111,0.896,0.8801571709233792,0.8762333762333763
Random Forest - Validation,2,0.8538681948424068,0.8996138996138996,0.7222222222222222,0.9031007751937985,0.9013539651837524,0.9047404547404547
Random Forest - Validation,3,0.8814531548757171,0.9329896907216495,0.7333333333333333,0.9095477386934674,0.9211195928753181,0.9329992363497519
Random Forest - Validation,4,0.8623326959847036,0.9188144329896907,0.7,0.8979848866498741,0.9082802547770701,0.8926832760595648
Random Forest - Validation,5,0.8489483747609943,0.915057915057915,0.6579925650557621,0.8854296388542964,0.9,0.8877844918737112
Random Forest - Test,-,0.7596153846153846,0.9512820512820512,0.44017094017094016,0.7390438247011952,0.8318385650224215,0.8338593030900725
