n_estimators,max_depth,Accuracy,Recall,Specificity,Precision,F1-Score,AUC
161,7,0.7067307692307693,0.9923076923076923,0.23076923076923078,0.6825396825396826,0.8087774294670846,0.8888012272627657
158,20,0.7131410256410257,0.9871794871794872,0.2564102564102564,0.6887298747763864,0.8113804004214963,0.8937321937321938
95,4,0.6907051282051282,0.9897435897435898,0.19230769230769232,0.671304347826087,0.8,0.8689896997589305
97,11,0.7083333333333334,0.9897435897435898,0.23931623931623933,0.6843971631205674,0.8092243186582809,0.8947841332456716
37,21,0.7115384615384616,0.9794871794871794,0.26495726495726496,0.6895306859205776,0.809322033898305,0.8683815472277011
21,23,0.7243589743589743,0.9794871794871794,0.29914529914529914,0.6996336996336996,0.8162393162393162,0.8438965592811748
188,1,0.625,1.0,0.0,0.625,0.7692307692307693,0.8327087442472059
199,20,0.7051282051282052,0.9923076923076923,0.2264957264957265,0.6813380281690141,0.8079331941544885,0.8894806048652203
126,1,0.625,1.0,0.0,0.625,0.7692307692307693,0.8230440499671268
14,17,0.7227564102564102,0.958974358974359,0.32905982905982906,0.704331450094162,0.8121606948968513,0.8379903572211265
10,28,0.7371794871794872,0.958974358974359,0.36752136752136755,0.7164750957854407,0.8201754385964912,0.8301665570896339
200,32,0.7115384615384616,0.9897435897435898,0.24786324786324787,0.6868327402135231,0.8109243697478992,0.8930692526846373
199,26,0.717948717948718,0.9897435897435898,0.26495726495726496,0.6917562724014337,0.8143459915611815,0.8964716195485427
10,30,0.7275641025641025,0.958974358974359,0.3418803418803419,0.7083333333333334,0.8148148148148148,0.8543611658996274
200,14,0.7163461538461539,0.9948717948717949,0.25213675213675213,0.6891651865008881,0.8142707240293809,0.8976769669077362
10,9,0.7083333333333334,0.9846153846153847,0.24786324786324787,0.6857142857142857,0.8084210526315789,0.8587278106508875
200,24,0.7211538461538461,0.9923076923076923,0.2692307692307692,0.6935483870967742,0.8164556962025317,0.8963456059609906
199,28,0.7211538461538461,0.9897435897435898,0.27350427350427353,0.6942446043165468,0.8160676532769556,0.8934472934472935
11,26,0.7307692307692307,0.982051282051282,0.31196581196581197,0.7040441176470589,0.8201284796573876,0.857993644532106
11,14,0.7259615384615384,0.9871794871794872,0.2905982905982906,0.6987295825771325,0.8182784272051009,0.8192965154503615
